generation genome measures value
3 158 symmetry 0
3 158 total_components 0.27
3 124 branching 0
3 124 connectivity1 0.25
3 124 connectivity2 0.733
3 124 coverage 0.386
3 124 effective_joints 0.6
3 124 length_ratio 0.364
3 124 sensors 0
3 124 symmetry 0
3 124 total_components 0.17
3 181 branching 0
3 181 connectivity1 0.333
3 181 connectivity2 1
3 181 coverage 1
3 181 effective_joints 0
3 181 length_ratio 1
3 181 sensors 0
3 181 symmetry 0
3 181 total_components 0.04
3 174 branching 0
3 174 connectivity1 0.25
3 174 connectivity2 1
3 174 coverage 0.625
3 174 effective_joints 0.667
3 174 length_ratio 0.5
3 174 sensors 0
3 174 symmetry 0
3 174 total_components 0.05
3 9 branching 0
3 9 connectivity1 0.333
3 9 connectivity2 1
3 9 coverage 1
3 9 effective_joints 1
3 9 length_ratio 0.25
3 9 sensors 0
3 9 symmetry 0
3 9 total_components 0.04
3 178 branching 0
3 178 connectivity1 0.25
3 178 connectivity2 0.889
3 178 coverage 0.55
3 178 effective_joints 0.889
3 178 length_ratio 0.2
3 178 sensors 0
3 178 symmetry 0
3 178 total_components 0.11
3 199 branching 0
3 199 connectivity1 0.25
3 199 connectivity2 0.778
3 199 coverage 0.611
3 199 effective_joints 0.556
3 199 length_ratio 0.222
3 199 sensors 0.142857
3 199 symmetry 0
3 199 total_components 0.11
3 123 branching 0
3 123 connectivity1 0.2
3 123 connectivity2 1
3 123 coverage 1
3 123 effective_joints 1
3 123 length_ratio 0.143
3 123 sensors 1
3 123 symmetry 0
3 123 total_components 0.07
3 114 branching 0
3 114 connectivity1 0.059
3 114 connectivity2 1
3 114 coverage 1
3 114 effective_joints 0.696
3 114 length_ratio 0.04
3 114 sensors 0
3 114 symmetry 0
3 114 total_components 0.25
3 190 branching 0
3 190 connectivity1 0.143
3 190 connectivity2 1
3 190 coverage 0.833
3 190 effective_joints 0.625
3 190 length_ratio 0.75
3 190 sensors 0.222222
3 190 symmetry 0
3 190 total_components 0.1
3 191 branching 0
3 191 connectivity1 0.2
3 191 connectivity2 1
3 191 coverage 0.467
3 191 effective_joints 0.8
3 191 length_ratio 0.6
3 191 sensors 0.2
3 191 symmetry 0
3 191 total_components 0.07
3 74 branching 0
3 74 connectivity1 0.4
3 74 connectivity2 0.6
3 74 coverage 0.467
3 74 effective_joints 0.6
3 74 length_ratio 0.6
3 74 sensors 0.2
3 74 symmetry 0.5
3 74 total_components 0.07
3 163 branching 0
3 163 connectivity1 0.4
3 163 connectivity2 0.6
3 163 coverage 0.583
3 163 effective_joints 0.4
3 163 length_ratio 0.75
3 163 sensors 0.111111
3 163 symmetry 0
3 163 total_components 0.07
3 138 branching 0
3 138 connectivity1 0.333
3 138 connectivity2 1
3 138 coverage 1
3 138 effective_joints 1
3 138 length_ratio 0.25
