generation idgenome branching connectivity1 connectivity2 coverage effective_joints length_ratio sensors symmetry total_components
6 331 0 0.1 1 0.385 0.923 0.231 0 0 0.15
6 332 0 0.375 0.6 0.6 0.5 0.2 0.153846 0 0.12
6 333 0 0.1 1 0.467 0.833 0.833 0.428571 0 0.14
6 334 0 0.056 1 0.36 0.96 0.12 0 0 0.27
6 335 0 0.167 1 0.6 0.571 0.6 0.166667 0.286 0.09
6 336 0 0.2 1 0.583 0.6 0.333 0.142857 0 0.07
6 337 0 0.111 1 1 0.636 0.077 0 0 0.13
6 338 0 0.05 1 1 1 0.033 0 0 0.3
6 339 0 0.167 1 1 0.833 0.125 0 0 0.08
6 340 0 0.048 1 1 1 0.032 0.333333 0 0.31
6 341 0 0.667 0 0.667 0 0.667 0.2 1 0.04
6 342 0 0.053 1 0.233 0.692 0.3 0 0.167 0.28
6 343 0 0.125 1 1 1 0.083 0 0 0.12
6 344 0 0.182 0.857 0.4 0.714 0.4 0 0 0.16
6 345 0 0.167 1 1 1 0.111 0 0 0.09
6 346 0 0.25 0.778 0.55 0.444 0.8 0.0769231 0 0.11
6 347 0 0.75 0.5 0.5 0.25 0.75 0 0.5 0.06
6 348 0 0.167 1 1 0.857 0.111 0 0 0.09
6 349 0 0.167 1 1 1 0.111 0.333333 0 0.09
7 350 0 0.045 1 1 1 0.03 0 0 0.33
7 351 0 0.143 0.889 0.185 0.667 0.75 0 0 0.2
7 352 0 0.1 1 1 1 0.067 0 0 0.15
7 353 0 0.5 0.5 0.6 0.5 0.4 0 0 0.06
7 354 0 0.167 1 1 1 0.111 0 0 0.09
7 355 0 0.167 1 0.75 0.571 0.333 0.333333 0 0.09
7 356 0 0.125 1 0.375 0.7 0.5 0.222222 0 0.12
7 357 0 0.222 0.818 0.361 0.545 0.444 0.3 0.222 0.13
7 358 0 0.167 1 0.444 0.667 0.5 0.1 0 0.08
7 359 0 0.167 1 1 0.833 0.125 0 0 0.08
7 360 0 0.143 1 1 1 0.1 0 0 0.1
7 361 0 0.231 0.765 0.264 0.529 0.889 0 0 0.19
7 362 0 0.167 1 1 1 0.125 0 0 0.08
7 363 0 0.077 1 1 0.941 0.053 0 0 0.19
7 364 0 0.059 1 1 1 0.04 0 0 0.25
7 365 0 0.182 0.857 0.41 0.786 0.231 0 0.667 0.16
7 366 0 0.167 1 1 1 0.111 0 0 0.09
7 367 0 0.1 1 0.28 0.833 0.5 0.428571 0 0.14
7 368 0 0 0 1 0 1 0 0 0.01
7 369 0 0.083 1 0.3 0.938 0.267 0 0 0.18
7 370 0 0.182 0.857 0.286 0.786 0.875 0.222222 0 0.16
7 371 0 0.083 1 0.327 0.875 0.455 0.142857 0.375 0.18
7 372 0 0.111 1 0.325 0.727 0.4 0.222222 0 0.13
7 373 0 0.077 1 0.422 0.824 0.556 0.111111 0.353 0.19
7 374 0 0.111 1 0.325 0.909 0.4 0 0 0.13
7 375 0 0.111 1 1 1 0.077 0 0 0.13
